paso,x,y,radio,f_net,gap,freno
1210,-0.0628237419000112,0.6073322095122021,0.6107790249140375,2.015840408139024,0.0054510246075075,7.149928796204047e-05
1220,-0.0743301578740669,0.6039692289642485,0.6087294095587478,2.02553473663053,0.00556305774132,7.469214453350239e-05
1230,-0.0858118075587465,0.6004051258951338,0.6067070578692711,2.035160936758145,0.0056758397483975,7.798174315411038e-05
1240,-0.0972646359250165,0.5966394697561883,0.6047133126100008,2.044710560267802,0.0057892466867318,8.136608490533728e-05
1250,-0.1086845368839548,0.5926719239291453,0.6027495218503804,2.0541749748152447,0.0059031467857912,8.484260624535029e-05
1260,-0.1200673555871038,0.5885022489351216,0.600817037432397,2.063545374465384,0.0060174004742969,8.840814634359458e-05
1270,-0.1314088909183298,0.5841303056063286,0.5989172133545517,2.072812791384931,0.0061318604520002,9.205891647183608e-05
1280,-0.1427048981798719,0.5795560582088932,0.5970514040731916,2.0819681087489394,0.0062463718083641,9.579047201458892e-05
1290,-0.1539510919745729,0.5747795775046596,0.5952209627225804,2.0910020748752074,0.0063607721908624,9.959768768886282e-05
1300,-0.1651431492855155,0.5698010437393703,0.5934272392556212,2.099905318593153,0.0064748920253703,0.0001034747365831
1310,-0.1762767127534692,0.564620749544188,0.5916715785076836,2.108668365845789,0.0065885547908275,0.0001074150736376
1320,-0.1873473941516669,0.5592391027371495,0.5899553181865776,2.117281657514732,0.0067015773500116,0.0001114114241884
1330,-0.198350778056487,0.553656629010827,0.5882797867923101,2.125735568448909,0.0068137703378592,0.0001154557781927
1340,-0.2092824257116236,0.5478739744922101,0.5866463014708745,2.134020427667817,0.0069249386083262,0.0001195393907269
1350,-0.2201378790822781,0.5418919081606616,0.5850561658069576,2.142126539699862,0.0070348817402742,0.000123652789319
1360,-0.2309126650948171,0.5357113241096948,0.5835106675610835,2.150044207005545,0.0071433946023251,0.0001277857886284
1370,-0.2416023000562112,0.5293332436383187,0.5820110763573474,2.1577637534242733,0.0072502679760309,0.0001319275129221
1380,-0.2522022942464104,0.5227588171577827,0.5805586413285336,2.165275548572269,0.0073552892360804,0.0001360664267221
1390,-0.2627081566756279,0.5159893258997442,0.5791545887260271,2.172570033107725,0.007458243085597,0.0001401903739068
1400,-0.2731153999973093,0.5090261834121758,0.5778001195025373,2.1796377447680286,0.0075589123438995,0.0001442866254415
1410,-0.2834195455663601,0.501870936829728,0.5764964068762245,2.1864693450727835,0.0076570787833941,0.0001483419358007
1420,-0.293616128631015,0.494525267905786,0.5752445938853677,2.193055646575512,0.0077525240115568,0.0001523426080069
1430,-0.3037007036455531,0.4869909937940859,0.5740457909432126,2.1993876405366604,0.0078450303932641,0.0001562745670789
1440,-0.3136688496899172,0.4792700675685,0.5729010734030874,2.205456524880846,0.0079343820080415,0.0001601234415288
1450,-0.3235161759811925,0.4713645784704708,0.5718114791442713,2.211253732292467,0.0080203656361389,0.0001638746523988
1460,-0.33323832746085,0.4632767518745411,0.5707780061894313,2.216770958295879,0.0081027717667276,0.0001675135091719
1470,-0.342830990440676,0.4550089489635179,0.569801610364692,2.222000189159689,0.0081813956209424,0.0001710253117406
1480,-0.3522898982894068,0.4465636661059999,0.5688832030135864,2.2269337294592084,0.008256038181997,0.0001743954574691
1490,-0.3616108371412783,0.4379435339302878,0.5680236487762268,2.231564229127102,0.0083265072241751,0.0001776095522455
1500,-0.3707896516069912,0.4291513160900817,0.5672237634450326,2.235884709819821,0.0083926183321638,0.0001806535242972
1510,-0.3798222504669999,0.4201899077188355,0.566484311908262,2.239888590426577,0.0084541959019611,0.0001835137394322
