paso,x,y,radio,f_net,gap,freno,theta_rad,theta_deg,F_newton_norm,phase_cos_2theta,F_GEO_public_norm,ratio_GEO_Newton,dr_step,dtheta_step,curvature_proxy,E_newton_like,E_GEO_like
8280,0.4709079832367903,0.3241750985558799,0.5715970763179332,2.212396835954075,0.0080373930820112,0.0001645892377098,13.16927178768955,754.5436926953158,3.0606946368142696,0.3569436711707085,1.0924955799969838,0.3569436711707085,0.0010519240108728956,0.022019229281846187,-8.146518623552979e-05,-1.749484105905015,-0.6244672794165407
8290,0.4645503565335503,0.3350808518326947,0.5726770566739894,2.2066467692709786,0.0079519851661337,0.0001608551561797,13.19125026642878,755.8029667671917,3.049161528499096,0.315550769928871,0.9621652679553828,0.315550769928871,0.0011075407258625547,0.021935833644544545,-8.525327771691238e-05,-1.7461848494644248,-0.551009973686629
8300,0.458013828327806,0.3458575428875115,0.5738121577696583,2.2006244866001894,0.0078631855661322,0.0001570213807029,13.213143454978638,757.0573540711829,3.0371099077479804,0.27371232537405493,0.8312944152662811,0.27371232537405493,0.0011621454956065591,0.021848722726412362,-8.889386779920017e-05,-1.7427305895484764,-0.47700684216581113
8310,0.4513017490146857,0.3565016511736562,0.5750013476652025,2.194338506236575,0.0077712065793691,0.0001531024816925,13.234947711881604,758.3066459671418,3.024560491449045,0.2315222249128543,0.700252974363799,0.2315222249128543,0.0012156995167079132,0.021758045908946144,-9.238348559570397e-05,-1.739126358678128,-0.40264640396575085
8320,0.4444175456803362,0.3670097724048241,0.5762435568030742,2.187797583778877,0.0076762633228394,0.0001491128356778,13.25665954679653,759.5506424732519,3.0115344471540526,0.18907342099892085,0.5694011203795105,0.18907342099892085,0.0012681663731448078,0.021663955755220954,-9.571923563678197e-05,-1.7353773212630308,-0.32811372685514456
8330,0.4373647168779598,0.3773786202808456,0.5775376804114921,2.181010684130292,0.0075785727477405,0.0001450665356202,13.278275623392046,760.7891524318064,2.998053313360724,0.14645760759473708,0.43908771571628624,0.14645760759473708,0.0013195120632844004,0.02156660743767258,-9.889878972790811e-05,-1.7314887563483408,-0.25358970083196464
8340,0.4301468273930933,0.3876050279273685,0.578882580929643,2.173986953620676,0.007478352681963,0.0001409773086541,13.299792761671876,762.02199364244,2.9841389211228173,0.1037649152546767,0.3096489222584915,0.1037649152546767,0.0013697050162769786,0.021466158175765138,-0.00010192037546064014,-1.7274660405121767,-0.17925036729907792
8350,0.4227675030158241,0.3976859490539684,0.5802770904440461,2.166735692396382,0.007375820906634,0.0001368584417796,13.321207939743577,763.2489929634696,2.9698133174404355,0.061083626137468774,0.18140696638060744,0.061083626137468774,0.0014187160981805613,0.0213627666867513,-0.00010478276163672362,-1.723314631006316,-0.10526630663761977
8360,0.4152304253369192,0.4076184588363833,0.5817200131260041,2.1592663272150614,0.0072711942721955,0.0001327227158842,13.342518295045378,764.4699863821871,2.955098690843665,0.018499910004498635,0.05466905983501954,0.018499910004498635,0.0014665186082353232,0.02125659265249169,-0.0001074852409064242,-1.7190400492262141,-0.03180208620481387
8370,0.4075393265840343,0.4173997545296662,0.5832101276605167,2.151588384773195,0.0071646878588168,0.0001285823483233,13.36372112504856,765.6848190551028,2.9400172995408935,-0.023902417988031187,-0.07027352238566913,-0.023902417988031187,0.0015130882657551914,0.02114779620493845,-0.00011002760993061855,-1.714647864589372,0.040984229961700265
8380,0.3996979845133024,0.4270271558200425,0.5847461896575145,2.1437114656839857,0.0070565141852466,0.0001244489441461,13.384813887455255,766.8933453192786,2.9245914024602246,-0.06604211713722982,-0.1931462079798134,-0.06604211713722982,0.0015584031881523686,0.021036537432630453,-0.00011241014736729227,-1.7101436788937427,0.1129415091629937
8390,0.3917102173706701,0.4364981049241561,0.5863269340368215,2.1356452192125057,0.0069468824695018,0.0001203334559273,13.40579419991382,768.0954286760202,2.908843193468332,-0.10784071834912597,-0.31369173954859053,-0.10784071834912597,0.0016024438606505043,0.020922975910203867,-0.00011463359000751794,-1.7055331112201642,0.18392591588220225
8400,0.3835798789363783,0.4458101664451862,0.5879510773788155,2.127399318864,0.0068359979440954,0.0001162461520435,13.426659839275663,769.2909417482957,2.8927947390072073,-0.14922269848987044,-0.4316706371319559,-0.14922269848987044,0.0016451930982689378,0.020807270252615417,-0.00011669910737222011,-1.7008217834350567,0.25380121617453316
8410,0.3753108536649746,0.4549610269960016,0.5896173202333593,2.11898343891,0.0067240612278176,0.0001121965931261,13.447408740419052,770.479766213346,2.8764679193456,-0.1901156320278382,-0.5468615164941895,-0.1901156320278382,0.001686636000686359,0.020689577695459427,-0.00011860827507792493,-1.6960153063417795,0.32243902189405504
8420,0.3669070519322138,0.4639484946001142,0.5913243493801882,2.110407231925625,0.0066112677554263,0.0001081936163317,13.468038994666582,771.6617927120114,2.8598843735994897,-0.2304503202530332,-0.6590612697826476,-0.23045032025303316,0.0017267599006061118,0.020570053702459568,-0.0001203630472663697,-1.691119266521285,0.38971897655590476
8430,0.3583724053991554,0.4727704978816769,0.5930708400345716,2.101680307400255,0.0064978072659707,0.0001042453269919,13.48854884782397,772.8369207363628,2.843065448634791,-0.2701608985344964,-0.7680851161955561,-0.2701608985344964,0.001765554306255468,0.020448851600926687,-0.00012196572839417996,-1.6861392138951015,0.45552888508015
8440,0.3497108625027215,0.4814250850561634,0.5948554579926991,2.0928122114727343,0.0063838633498796,0.0001003590971407,13.508936697868435,774.0050584972563,2.826032151926426,-0.3091849222323415,-0.8737665311194688,-0.3091849222323415,0.0018030108386501986,0.020326122245671208,-0.00012341894464862335,-1.6810806500362871,0.5197647900477635
8450,0.3409263840809263,0.4899104227336609,0.596676861711872,2.0838124078315774,0.0062696130543952,9.654157036818248e-05,13.529201092315313,775.1661227734508,2.8088051084109833,-0.3474634320185539,-0.9759570628397266,-0.3474634320185539,0.0018391231642553851,0.02020201371162944,-0.0001247256152350218,-1.6759490172469398,0.5823309974207442
8460,0.3320229391399648,0.4982247945469102,0.5985337043212099,2.0746902598103536,0.0061552265464308,9.27986724144608e-05,13.549340725291694,776.3200387439399,2.7914045213358207,-0.3849409994792811,-1.0745260463939952,-0.3849409994792811,0.0018738869236616384,0.020076671015201164,-0.00012588892378229133,-1.6707496884141024,0.6431400549378221
8470,0.3230045007693266,0.5063665996163451,0.6004246355591952,2.0654550136985668,0.0060408668314765,8.913562689379281e-05,13.569354434345716,777.466739805138,2.773850137075894,-0.421565753971219,-1.1693602244395684,-0.421565753971219,0.0019072996568822442,0.019950235864064858,-0.00012691229008376936,-1.6654879576496175,0.7021126865965467
8480,0.3138750422101246,0.5143343508644191,0.6023483036349744,2.056115783279107,0.0059266895267752,8.555697553011982e-05,13.589241197019824,778.6061673745427,2.756161213860845,-0.4572893917862066,-1.2603632851511588,-0.45728939178620664,0.0019393607258569312,0.019822846435033625,-0.00012779934235318535,-1.6601690317135918,0.7591776867746038
8490,0.3046385330808684,0.5221266731914681,0.6043033570109091,2.0466815355946477,0.005812842686643,8.206660228477404e-05,13.609000127215783,779.7382706824648,2.738356494329209,-0.4920671687419965,-1.347455327170833,-0.4920671687419965,0.001970071234728088,0.019694637179358487,-0.00012855389017474295,-1.6547980222157654,0.8142717776315671
8500,0.2952989357640013,0.52974230152525,0.6062884461044306,2.0371610779373137,0.0056994666775089,7.866776076780564e-05,13.628630471378541,780.86300655338,2.720454181803825,-0.5258578773642331,-1.4305722615100107,-0.5258578773642331,0.001999433948426277,0.01956573865468414,-0.00012917989830096843,-1.649379938584141,0.8673394334710055
8510,0.2858602019556444,0.5371800787561269,0.6083022249077616,2.027563046048612,0.005586694100007,7.536310434312236e-05,13.648131604525151,781.9803391784035,2.7024719201629335,-0.5586238098557038,-1.5096651600694773,-0.5586238098557038,0.002027453210075636,0.01943627738275655,-0.00012968146142000592,-1.643919681785863,0.9183326757359951
8520,0.2763262693801653,0.5444389535696282,0.6103433525245818,2.0178958935098774,0.0054746497552571,7.215471836348796e-05,13.667503026144054,783.0902398803352,2.684426777164599,-0.5903307080656053,-1.5846995601138485,-0.5903307080656053,0.0020541348577004515,0.019306375731844128,-0.00013006278001093108,-1.6384220387814,0.9672108422641164
8530,0.2667010586704069,0.5515179781878533,0.6124104946231625,2.0081678822975477,0.0053634506523226,6.904415400312575e-05,13.68674435598884,784.1926868726605,2.6663352310683104,-0.6209477016744214,-1.6556547336254046,-0.6209477016744214,0.0020794861406784326,0.01917615182273469,-0.00013032813735902593,-1.6328916776897084,1.0139403343447144
8540,0.2569884704136837,0.5584163060308402,0.6145023248059387,1.9983870744722607,0.0052532060537332,6.60324631918655e-05,13.705855329789523,785.2876650138247,2.648213160386403,-0.6504472358011145,-1.7225229299854694,-0.6504472358011145,0.0021035156363584107,0.019045719457126076,-0.00013048187781139475,-1.6273331436391267,1.058494345007608
8550,0.2471923823629722,0.5651331893086715,0.6166175258958794,1.9885613249661596,0.0051440175558994,6.312023419430068e-05,13.724835794903091,786.3751655580274,2.630075836589419,-0.6788049892193873,-1.7853085999022513,-0.6788049892193873,0.0021262331672237678,0.0189151880671119,-0.00013052838633109687,-1.6217508552763025,1.1008525718323625
8560,0.2373166468120995,0.571667976554682,0.6187547911403862,1.978698275428816,0.0050359792012246,6.030762741916258e-05,13.743685705923747,787.4551859037083,2.61193791958337,-0.705999784340454,-1.8440276079365132,-0.705999784340454,0.0021476497189478194,0.018784662684463882,-0.00013047206936578348,-1.616149101903463,1.1410009174058633
8570,0.2273650881331562,0.578020110109711,0.620912825333775,1.9688053490889408,0.0049291776187316,5.75944110870543e-05,13.76240512027202,788.5277293408208,2.593813455773009,-0.7320134900824042,-1.8987064403831022,-0.7320134900824042,0.0021677773596586736,0.018654243928380332,-0.0001303173370588162,-1.6105320412127817,1.178931180377707
8580,0.2173415004738398,0.5841891235668951,0.6230903458597036,1.95888974658627,0.0048236921900689,5.497999642790636e-05,13.780994193780508,789.5928047979156,2.575715878523268,-0.7568309187019567,-1.9493814146579826,-0.7568309187019567,0.00218662916069412,0.01852402801034625,-0.00013006858681441358,-1.6049036975853936,1.2146407398717207
8590,0.2072496456119657,0.5901746391860316,0.6252860836551632,1.948958442725958,0.0047195952378282,5.246347212228234e-05,13.799453176292712,790.6504265899707,2.5576580108311204,-0.7804397176145825,-1.9960978957277145,-0.7804397176145825,0.0022042191190954075,0.018394106754751505,-0.0001297301882079438,-1.5992679609218463,1.248132235811895
8600,0.1970932509639598,0.5959763652860626,0.6274987840978944,1.939018184106207,0.0046169522332059,5.004363774223879e-05,13.81778240729001,791.7006141678364,2.539652070021647,-0.8028302571746817,-2.0389095245096915,-0.8028302571746817,0.0022205620820597294,0.018264567633930362,-0.0001293064692116097,-1.5936285859702841,1.2794132475154476
8610,0.1868760077437777,0.6015940936237496,0.6297272078192827,1.9290754875688083,0.0045158220201501,4.771903598734986e-05,13.835982311560572,792.7433918700816,2.5217096742852596,-0.823995515329917,-2.0778774625751195,-0.823995515329917,0.002235673673539218,0.018135493816328285,-0.00012880170371776245,-1.5879891921185294,1.3084959726980463
